Date,Short Volume,Total Volume
3/25/2015,82027,113745
3/26/2015,76338,112448
3/27/2015,53835,77639
3/30/2015,32920,52888
3/31/2015,41641,66043
4/1/2015,44469,70756
4/2/2015,70726,114290
4/6/2015,41894,81160
4/7/2015,35618,60591
4/8/2015,26865,53605
4/9/2015,34020,58775
4/10/2015,37517,69375
4/13/2015,36348,60463
4/14/2015,48201,83395
4/15/2015,51122,111342
4/16/2015,34204,66545
4/17/2015,45165,83685
4/20/2015,47929,90059
4/21/2015,37658,57342
4/22/2015,31315,53587
4/23/2015,88741,135272
4/24/2015,113776,187787
4/27/2015,43970,69788
4/28/2015,36341,78955
4/29/2015,33280,56601
4/30/2015,42878,73092
5/1/2015,47066,68333
5/4/2015,32169,53982
5/5/2015,38325,61079
5/6/2015,62846,86685
5/7/2015,50034,80022
5/8/2015,32490,49809
5/11/2015,14941,24631
5/12/2015,28140,51792
5/13/2015,21998,48072
5/14/2015,31634,57453
5/15/2015,41606,65272
5/18/2015,33593,45129
5/19/2015,51531,92152
5/20/2015,35496,55329
5/21/2015,35841,62067
5/22/2015,30544,54674
5/26/2015,41544,64832
5/27/2015,26884,53344
5/28/2015,27407,49175
5/29/2015,71747,108924
6/1/2015,35881,63870
6/2/2015,36855,60336
6/3/2015,28900,44317
6/4/2015,19158,34869
6/5/2015,25743,39384
6/8/2015,24553,40600
6/9/2015,23221,51171
6/10/2015,24935,47789
6/11/2015,18460,37518
6/12/2015,21378,35401
6/15/2015,23082,36370
6/16/2015,26257,42448
6/17/2015,39134,51592
6/18/2015,51713,73103
6/19/2015,37245,59653
6/22/2015,41685,60023
6/23/2015,45019,61727
6/24/2015,20530,36485
6/25/2015,26047,45016
6/26/2015,39361,56385
6/29/2015,34619,54133
6/30/2015,42828,65762
7/1/2015,46440,62852
7/2/2015,59632,72821
7/6/2015,31676,40980
7/7/2015,45656,59580
7/8/2015,45542,63786
7/9/2015,34914,52082
7/10/2015,55185,87881
7/13/2015,54307,77556
7/14/2015,60490,102185
7/15/2015,34022,66700
7/16/2015,87126,164764
7/17/2015,275325,424650
7/20/2015,88727,137393
7/21/2015,81580,124968
7/22/2015,76533,138856
7/23/2015,79521,157733
7/24/2015,76357,132156
7/27/2015,60003,117300
7/28/2015,36064,74038
7/29/2015,33002,65592
7/30/2015,42468,69868
7/31/2015,29080,59536
8/3/2015,26300,41879
8/4/2015,31302,44144
8/5/2015,39384,65819
8/6/2015,39901,72250
8/7/2015,25700,39347
8/10/2015,25816,64310
8/11/2015,96439,149373
8/12/2015,58818,106340
8/13/2015,32119,62287
8/14/2015,23836,47787
8/17/2015,30718,45554
8/18/2015,18188,39832
8/19/2015,51898,87471
