Date,Short Volume,Total Volume
7/2/2018,29629,54686
7/3/2018,19386,39586
7/5/2018,33263,67458
7/6/2018,30004,63914
7/9/2018,29310,64049
7/10/2018,23344,45684
7/11/2018,39923,75830
7/12/2018,50214,109727
7/13/2018,44442,89925
7/16/2018,26995,58607
7/17/2018,72482,130503
7/18/2018,79076,121838
7/19/2018,49015,99166
7/20/2018,74725,124918
7/23/2018,55996,137666
7/24/2018,128537,271255
7/25/2018,61912,124005
7/26/2018,75579,160377
7/27/2018,85099,168938
7/30/2018,59906,128836
7/31/2018,46661,91105
8/1/2018,46696,95962
8/2/2018,59185,116655
8/3/2018,32733,61962
8/6/2018,21843,45442
8/7/2018,58949,125267
8/8/2018,41569,93575
8/9/2018,31888,69298
8/10/2018,41186,83962
8/13/2018,38704,85138
8/14/2018,33366,67439
8/15/2018,55219,101315
8/16/2018,52804,101484
8/17/2018,44622,126608
8/20/2018,34632,67451
8/21/2018,46556,81222
8/22/2018,32548,61653
8/23/2018,45628,86540
8/24/2018,40695,97794
8/27/2018,50984,96178
8/28/2018,43074,92128
8/29/2018,59601,127039
8/30/2018,41951,94051
8/31/2018,61580,145477
9/4/2018,75038,160430
9/5/2018,82882,163314
9/6/2018,59949,137204
9/7/2018,64152,120303
9/10/2018,36635,75682
9/11/2018,43983,83183
9/12/2018,48690,101592
9/13/2018,58827,130103
9/14/2018,38010,70242
9/17/2018,44427,93108
9/18/2018,35625,67025
9/19/2018,43977,77045
9/20/2018,44041,84026
9/21/2018,83634,140422
9/24/2018,35187,73212
9/25/2018,47010,91081
9/26/2018,39192,81527
9/27/2018,68022,114812
9/28/2018,60357,102400
10/1/2018,54774,96375
10/2/2018,44526,102485
10/3/2018,38108,91153
10/4/2018,65929,149241
10/5/2018,41345,83306
10/8/2018,52539,105835
10/9/2018,41451,81617
10/10/2018,68979,136923
10/11/2018,90984,151975
10/12/2018,88518,144893
10/15/2018,45841,76161
10/16/2018,55842,98584
10/17/2018,43847,79033
10/18/2018,59282,107258
10/19/2018,57965,114820
10/22/2018,26455,49604
10/23/2018,43610,78945
10/24/2018,77084,118667
10/25/2018,110954,183063
10/26/2018,128110,222541
10/29/2018,91998,162275
10/30/2018,74552,142816
10/31/2018,101784,177302
11/1/2018,46280,89693
11/2/2018,56002,104338
11/5/2018,53933,106929
11/6/2018,37160,72473
11/7/2018,61675,108909
11/8/2018,45676,83629
11/9/2018,52675,92920
11/12/2018,47639,94342
11/13/2018,33253,62940
11/14/2018,51814,82115
11/15/2018,60814,107855
11/16/2018,60178,97168
11/19/2018,52899,98824
11/20/2018,72958,132438
11/21/2018,51197,83506
11/23/2018,16388,28048
11/26/2018,34066,60157
11/27/2018,38156,67865
11/28/2018,47717,106309
11/29/2018,38201,79685
11/30/2018,60828,114677
12/3/2018,65303,137289
12/4/2018,54427,89954
12/6/2018,62454,120143
12/7/2018,76718,124466
12/10/2018,65199,103768
12/11/2018,51244,93446
12/12/2018,46769,81808
12/13/2018,51107,82706
12/14/2018,52093,96650
12/17/2018,69633,134435
12/18/2018,69526,109672
12/19/2018,95661,154834
12/20/2018,109876,191986
12/21/2018,149670,245160
12/24/2018,63727,99344
12/26/2018,84237,132449
12/27/2018,75828,125303
12/28/2018,67982,111196
12/31/2018,60458,94670
1/2/2019,49465,86325
1/3/2019,71147,103236
1/4/2019,70630,131131
1/7/2019,52147,108718
1/8/2019,57550,90100
1/9/2019,45640,84961
1/10/2019,29490,57659
1/11/2019,43241,80221
1/14/2019,31922,62498
1/15/2019,37172,76888
1/16/2019,44232,85217
1/17/2019,36950,61245
1/18/2019,40501,77137
1/22/2019,45728,78679
1/23/2019,36302,57873
1/24/2019,36799,57988
1/25/2019,35918,55940
1/28/2019,36607,52083
1/29/2019,25225,47824
1/30/2019,48265,83053
1/31/2019,59374,93257
2/1/2019,51280,79961
2/4/2019,59230,118777
2/5/2019,83921,155100
2/6/2019,50133,89181
2/7/2019,44402,78040
2/8/2019,25748,47121
2/11/2019,20222,37391
2/12/2019,39708,88803
2/13/2019,32396,65681
2/14/2019,25652,46002
2/15/2019,30919,75178
2/19/2019,19508,35026
2/20/2019,31030,57049
2/21/2019,55685,102961
2/22/2019,29083,57265
2/25/2019,29832,57837
2/26/2019,26972,58622
2/27/2019,25541,45053
2/28/2019,30985,60510
3/1/2019,42565,81870
3/4/2019,41178,76639
3/5/2019,58347,98050
3/6/2019,36914,67015
3/7/2019,52851,83715
3/8/2019,34372,61303
3/11/2019,32414,63791
3/12/2019,65696,110594
3/13/2019,31985,62023
3/14/2019,39165,66279
3/15/2019,61969,104288
3/18/2019,25726,50651
3/19/2019,36385,71597
3/20/2019,82806,134642
3/21/2019,30487,63701
3/22/2019,55493,109430
3/25/2019,25923,58743
3/26/2019,43785,94529
3/27/2019,28854,58926
3/28/2019,22650,51978
3/29/2019,32693,67677
4/1/2019,37256,75822
4/2/2019,19371,43735
4/3/2019,37516,65046
4/4/2019,35504,57567
4/5/2019,35670,55423
4/8/2019,25006,50999
4/9/2019,28810,50375
4/10/2019,23336,41240
4/11/2019,27484,45770
4/12/2019,47619,81045
4/15/2019,38508,65280
4/16/2019,47260,85035
4/17/2019,41603,80588
4/18/2019,32737,56457
4/22/2019,27385,43768
4/23/2019,55754,86994
4/24/2019,23966,49602
4/25/2019,55195,88282
4/26/2019,54052,84317
4/29/2019,90764,148337
4/30/2019,218127,345465
5/1/2019,104323,179297
5/2/2019,67369,116454
5/3/2019,68379,135122
5/6/2019,37301,63163
5/7/2019,59081,90930
5/8/2019,31993,58559
5/9/2019,50307,68594
5/10/2019,60426,100943
5/13/2019,66484,96475
5/14/2019,82049,115663
5/15/2019,71954,128316
5/16/2019,53420,92067
5/17/2019,55032,89283
5/20/2019,62148,92896
5/21/2019,37948,60897
5/22/2019,21558,34316
5/23/2019,44319,72914
